,day1,day2,day3,day4,day5,day6
v1,A,A,B,C,C,C
v2,A,B,B,C,C,A
v3,B,B,B,B,B,A
v4,C,A,A,A,A,B
v5,A,C,A,C,A,B
v6,B,A,C,B,C,A
,,,,,,
winner Aproval,A,A,B,C,C,A
explanation approval,המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (3 מצביעים הצביעו ל A),המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (3 מצביעים הצביעו ל A),המועמד B ניצח כי הוא קיבל הכי הרבה הצבעות (3 מצביעים הצביעו ל B),המועמד C ניצח כי הוא קיבל הכי הרבה הצבעות (3 מצביעים הצביעו ל C),המועמד C ניצח כי הוא קיבל הכי הרבה הצבעות (3 מצביעים הצביעו ל C),המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (3 מצביעים הצביעו ל A)
,,,,,,
winner MES,A,A,B,B,A,A
explanation MES,"המועמד A נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 6, שמתחלקת בין 3 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v1 נשאר: 6.00
למצביע v2 נשאר: 6.00
למצביע v5 נשאר: 6.00","המועמד A נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 6.00, שמתחלקת בין 3 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v1 נשאר: 4.00
למצביע v4 נשאר: 6.00
למצביע v6 נשאר: 6.00","המועמד B נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של B היא 6.00, שמתחלקת בין 3 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v1 נשאר: 2.00
למצביע v2 נשאר: 4.00
למצביע v3 נשאר: 6.00","המועמד B נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של B היא 6.00, שמתחלקת בין 2 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v3 נשאר: 4.00
למצביע v6 נשאר: 4.00","המועמד A נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 6.00, שמתחלקת בין 2 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v4 נשאר: 4.00
למצביע v5 נשאר: 4.00","המועמד A נבחר כי אמנם אין לו מספיק תומכים לממן אותו, אך גם לשאר המועמדים אין מספיק תומכים לממן אותם. אך מועמד A יכול לאסוף מהתומכים את התקציב הכי קרוב למה שהוא צריך. 
בסף הכל למצביעים שלו יש תקציב: 4
למצביע v2 נשאר: 2.00
למצביע v3 נשאר: 1.00 
למצביע v6 נשאר: 1.00"
,,,,,,
winner PP,A,B,A,B,C,B
